Mod:Item:MetaData, Localized Name
adchimneys:bedrock:2, Bedrock Pump
adchimneys:bone_block_side:0, Bone Chimney
adchimneys:bone_block_side:1, Bone Vent
adchimneys:bone_block_side:2, Bone Pump
adchimneys:brick:0, Brick Chimney
adchimneys:brick:1, Brick Vent
adchimneys:brick:2, Brick Pump
adchimneys:clay:0, Clay Chimney
adchimneys:clay:1, Clay Vent
adchimneys:clay:2, Clay Pump
adchimneys:coal_block:0, Coal Chimney
adchimneys:coal_block:1, Coal Vent
adchimneys:coal_block:2, Coal Pump
adchimneys:coarse_dirt:0, Coarse Dirt Chimney
adchimneys:coarse_dirt:1, Coarse Dirt Vent
adchimneys:coarse_dirt:2, Coarse Dirt Pump
adchimneys:cobblestone:0, Cobblestone Chimney
adchimneys:cobblestone:1, Cobblestone Vent
adchimneys:cobblestone:2, Cobblestone Pump
adchimneys:cobblestone_mossy:0, Mossy Cobblestone Chimney
adchimneys:cobblestone_mossy:1, Mossy Cobblestone Vent
adchimneys:cobblestone_mossy:2, Mossy Cobblestone Pump
adchimneys:concrete_black:0, Black Concrete Chimney
adchimneys:concrete_black:1, Black Concrete Vent
adchimneys:concrete_black:2, Black Concrete Pump
adchimneys:concrete_blue:0, Blue Concrete Chimney
adchimneys:concrete_blue:1, Blue Concrete Vent
adchimneys:concrete_blue:2, Blue Concrete Pump
adchimneys:concrete_brown:0, Brown Concrete Chimney
adchimneys:concrete_brown:1, Brown Concrete Vent
adchimneys:concrete_brown:2, Brown Concrete Pump
adchimneys:concrete_cyan:0, Cyan Concrete Chimney
adchimneys:concrete_cyan:1, Cyan Concrete Vent
adchimneys:concrete_cyan:2, Cyan Concrete Pump
adchimneys:concrete_gray:0, Gray Concrete Chimney
adchimneys:concrete_gray:1, Gray Concrete Vent
adchimneys:concrete_gray:2, Gray Concrete Pump
adchimneys:concrete_green:0, Green Concrete Chimney
adchimneys:concrete_green:1, Green Concrete Vent
adchimneys:concrete_green:2, Green Concrete Pump
adchimneys:concrete_light_blue:0, Light Blue Concrete Chimney
adchimneys:concrete_light_blue:1, Light Blue Concrete Vent
adchimneys:concrete_light_blue:2, Light Blue Concrete Pump
adchimneys:concrete_lime:0, Lime Concrete Chimney
adchimneys:concrete_lime:1, Lime Concrete Vent
adchimneys:concrete_lime:2, Lime Concrete Pump
adchimneys:concrete_magenta:0, Magenta Concrete Chimney
adchimneys:concrete_magenta:1, Magenta Concrete Vent
adchimneys:concrete_magenta:2, Magenta Concrete Pump
adchimneys:concrete_orange:0, Orange Concrete Chimney
adchimneys:concrete_orange:1, Orange Concrete Vent
adchimneys:concrete_orange:2, Orange Concrete Pump
adchimneys:concrete_pink:0, Pink Concrete Chimney
adchimneys:concrete_pink:1, Pink Concrete Vent
adchimneys:concrete_pink:2, Pink Concrete Pump
adchimneys:concrete_purple:0, Purple Concrete Chimney
adchimneys:concrete_purple:1, Purple Concrete Vent
adchimneys:concrete_purple:2, Purple Concrete Pump
adchimneys:concrete_red:0, Red Concrete Chimney
adchimneys:concrete_red:1, Red Concrete Vent
adchimneys:concrete_red:2, Red Concrete Pump
adchimneys:concrete_silver:0, Light Gray Concrete Chimney
adchimneys:concrete_silver:1, Light Gray Concrete Vent
adchimneys:concrete_silver:2, Light Gray Concrete Pump
adchimneys:concrete_white:0, White Concrete Chimney
adchimneys:concrete_white:1, White Concrete Vent
adchimneys:concrete_white:2, White Concrete Pump
adchimneys:concrete_yellow:0, Yellow Concrete Chimney
adchimneys:concrete_yellow:1, Yellow Concrete Vent
adchimneys:concrete_yellow:2, Yellow Concrete Pump
adchimneys:diamond_block:0, Diamond Chimney
adchimneys:diamond_block:1, Diamond Vent
adchimneys:diamond_block:2, Diamond Pump
adchimneys:dirt:0, Dirt Chimney
adchimneys:dirt:1, Dirt Vent
adchimneys:dirt:2, Dirt Pump
adchimneys:emerald_block:0, Emerald Chimney
adchimneys:emerald_block:1, Emerald Vent
adchimneys:emerald_block:2, Emerald Pump
adchimneys:end_bricks:0, Endstone Brick Chimney
adchimneys:end_bricks:1, Endstone Brick Vent
adchimneys:end_bricks:2, Endstone Brick Pump
adchimneys:end_stone:0, Endstone Chimney
adchimneys:end_stone:1, Endstone Vent
adchimneys:end_stone:2, Endstone Pump
adchimneys:glass:0, Glass Chimney
adchimneys:glass_black:0, Black Glass Chimney
adchimneys:glass_blue:0, Blue Glass Chimney
adchimneys:glass_brown:0, Brown Glass Chimney
adchimneys:glass_cyan:0, Cyan Glass Chimney
adchimneys:glass_gray:0, Gray Glass Chimney
adchimneys:glass_green:0, Green Glass Chimney
adchimneys:glass_light_blue:0, Light Blue Glass Chimney
adchimneys:glass_lime:0, Lime Glass Chimney
adchimneys:glass_magenta:0, Magenta Glass Chimney
adchimneys:glass_orange:0, Orange Glass Chimney
adchimneys:glass_pink:0, Pink Glass Chimney
adchimneys:glass_purple:0, Purple Glass Chimney
adchimneys:glass_red:0, Red Glass Chimney
adchimneys:glass_silver:0, Light Gray Glass Chimney
adchimneys:glass_white:0, White Glass Chimney
adchimneys:glass_yellow:0, Yellow Glass Chimney
adchimneys:glazed_terracotta_black:0, Black Glazed Terracotta Chimney
adchimneys:glazed_terracotta_black:1, Black Glazed Terracotta Vent
adchimneys:glazed_terracotta_black:2, Black Glazed Terracotta Pump
adchimneys:glazed_terracotta_blue:0, Blue Glazed Terracotta Chimney
adchimneys:glazed_terracotta_blue:1, Blue Glazed Terracotta Vent
adchimneys:glazed_terracotta_blue:2, Blue Glazed Terracotta Pump
adchimneys:glazed_terracotta_brown:0, Brown Glazed Terracotta Chimney
adchimneys:glazed_terracotta_brown:1, Brown Glazed Terracotta Vent
adchimneys:glazed_terracotta_brown:2, Brown Glazed Terracotta Pump
adchimneys:glazed_terracotta_cyan:0, Cyan Glazed Terracotta Chimney
adchimneys:glazed_terracotta_cyan:1, Cyan Glazed Terracotta Vent
adchimneys:glazed_terracotta_cyan:2, Cyan Glazed Terracotta Pump
adchimneys:glazed_terracotta_gray:0, Gray Glazed Terracotta Chimney
adchimneys:glazed_terracotta_gray:1, Gray Glazed Terracotta Vent
adchimneys:glazed_terracotta_gray:2, Gray Glazed Terracotta Pump
adchimneys:glazed_terracotta_green:0, Green Glazed Terracotta Chimney
adchimneys:glazed_terracotta_green:1, Green Glazed Terracotta Vent
adchimneys:glazed_terracotta_green:2, Green Glazed Terracotta Pump
adchimneys:glazed_terracotta_light_blue:0, Light Blue Glazed Terracotta Chimney
adchimneys:glazed_terracotta_light_blue:1, Light Blue Glazed Terracotta Vent
adchimneys:glazed_terracotta_light_blue:2, Light Blue Glazed Terracotta Pump
adchimneys:glazed_terracotta_lime:0, Lime Glazed Terracotta Chimney
adchimneys:glazed_terracotta_lime:1, Lime Glazed Terracotta Vent
adchimneys:glazed_terracotta_lime:2, Lime Glazed Terracotta Pump
adchimneys:glazed_terracotta_magenta:0, Magenta Glazed Terracotta Chimney
adchimneys:glazed_terracotta_magenta:1, Magenta Glazed Terracotta Vent
adchimneys:glazed_terracotta_magenta:2, Magenta Glazed Terracotta Pump
adchimneys:glazed_terracotta_orange:0, Orange Glazed Terracotta Chimney
adchimneys:glazed_terracotta_orange:1, Orange Glazed Terracotta Vent
adchimneys:glazed_terracotta_orange:2, Orange Glazed Terracotta Pump
adchimneys:glazed_terracotta_pink:0, Pink Glazed Terracotta Chimney
adchimneys:glazed_terracotta_pink:1, Pink Glazed Terracotta Vent
adchimneys:glazed_terracotta_pink:2, Pink Glazed Terracotta Pump
adchimneys:glazed_terracotta_purple:0, Purple Glazed Terracotta Chimney
adchimneys:glazed_terracotta_purple:1, Purple Glazed Terracotta Vent
adchimneys:glazed_terracotta_purple:2, Purple Glazed Terracotta Pump
adchimneys:glazed_terracotta_red:0, Red Glazed Terracotta Chimney
adchimneys:glazed_terracotta_red:1, Red Glazed Terracotta Vent
adchimneys:glazed_terracotta_red:2, Red Glazed Terracotta Pump
adchimneys:glazed_terracotta_silver:0, Light Gray Glazed Terracotta Chimney
adchimneys:glazed_terracotta_silver:1, Light Gray Glazed Terracotta Vent
adchimneys:glazed_terracotta_silver:2, Light Gray Glazed Terracotta Pump
adchimneys:glazed_terracotta_white:0, White Glazed Terracotta Chimney
adchimneys:glazed_terracotta_white:1, White Glazed Terracotta Vent
adchimneys:glazed_terracotta_white:2, White Glazed Terracotta Pump
adchimneys:glazed_terracotta_yellow:0, Yellow Glazed Terracotta Chimney
adchimneys:glazed_terracotta_yellow:1, Yellow Glazed Terracotta Vent
adchimneys:glazed_terracotta_yellow:2, Yellow Glazed Terracotta Pump
adchimneys:glowstone:0, Glowstone Chimney
adchimneys:gold_block:0, Gold Chimney
adchimneys:gold_block:1, Gold Vent
adchimneys:gold_block:2, Gold Pump
adchimneys:hardened_clay:0, Terracotta Chimney
adchimneys:hardened_clay:1, Terracotta Vent
adchimneys:hardened_clay:2, Terracotta Pump
adchimneys:hardened_clay_stained_black:0, Black Terracotta Chimney
adchimneys:hardened_clay_stained_black:1, Black Terracotta Vent
adchimneys:hardened_clay_stained_black:2, Black Terracotta Pump
adchimneys:hardened_clay_stained_blue:0, Blue Terracotta Chimney
adchimneys:hardened_clay_stained_blue:1, Blue Terracotta Vent
adchimneys:hardened_clay_stained_blue:2, Blue Terracotta Pump
adchimneys:hardened_clay_stained_brown:0, Brown Terracotta Chimney
adchimneys:hardened_clay_stained_brown:1, Brown Terracotta Vent
adchimneys:hardened_clay_stained_brown:2, Brown Terracotta Pump
adchimneys:hardened_clay_stained_cyan:0, Cyan Terracotta Chimney
adchimneys:hardened_clay_stained_cyan:1, Cyan Terracotta Vent
adchimneys:hardened_clay_stained_cyan:2, Cyan Terracotta Pump
adchimneys:hardened_clay_stained_gray:0, Gray Terracotta Chimney
adchimneys:hardened_clay_stained_gray:1, Gray Terracotta Vent
adchimneys:hardened_clay_stained_gray:2, Gray Terracotta Pump
adchimneys:hardened_clay_stained_green:0, Green Terracotta Chimney
adchimneys:hardened_clay_stained_green:1, Green Terracotta Vent
adchimneys:hardened_clay_stained_green:2, Green Terracotta Pump
adchimneys:hardened_clay_stained_light_blue:0, Light Blue Terracotta Chimney
adchimneys:hardened_clay_stained_light_blue:1, Light Blue Terracotta Vent
adchimneys:hardened_clay_stained_light_blue:2, Light Blue Terracotta Pump
adchimneys:hardened_clay_stained_lime:0, Lime Terracotta Chimney
adchimneys:hardened_clay_stained_lime:1, Lime Terracotta Vent
adchimneys:hardened_clay_stained_lime:2, Lime Terracotta Pump
adchimneys:hardened_clay_stained_magenta:0, Magenta Terracotta Chimney
adchimneys:hardened_clay_stained_magenta:1, Magenta Terracotta Vent
adchimneys:hardened_clay_stained_magenta:2, Magenta Terracotta Pump
adchimneys:hardened_clay_stained_orange:0, Orange Terracotta Chimney
adchimneys:hardened_clay_stained_orange:1, Orange Terracotta Vent
adchimneys:hardened_clay_stained_orange:2, Orange Terracotta Pump
adchimneys:hardened_clay_stained_pink:0, Pink Terracotta Chimney
adchimneys:hardened_clay_stained_pink:1, Pink Terracotta Vent
adchimneys:hardened_clay_stained_pink:2, Pink Terracotta Pump
adchimneys:hardened_clay_stained_purple:0, Purple Terracotta Chimney
adchimneys:hardened_clay_stained_purple:1, Purple Terracotta Vent
adchimneys:hardened_clay_stained_purple:2, Purple Terracotta Pump
adchimneys:hardened_clay_stained_red:0, Red Terracotta Chimney
adchimneys:hardened_clay_stained_red:1, Red Terracotta Vent
adchimneys:hardened_clay_stained_red:2, Red Terracotta Pump
adchimneys:hardened_clay_stained_silver:0, Light Gray Terracotta Chimney
adchimneys:hardened_clay_stained_silver:1, Light Gray Terracotta Vent
adchimneys:hardened_clay_stained_silver:2, Light Gray Terracotta Pump
adchimneys:hardened_clay_stained_white:0, White Terracotta Chimney
adchimneys:hardened_clay_stained_white:1, White Terracotta Vent
adchimneys:hardened_clay_stained_white:2, White Terracotta Pump
adchimneys:hardened_clay_stained_yellow:0, Yellow Terracotta Chimney
adchimneys:hardened_clay_stained_yellow:1, Yellow Terracotta Vent
adchimneys:hardened_clay_stained_yellow:2, Yellow Terracotta Pump
adchimneys:iron_block:0, Iron Chimney
adchimneys:iron_block:1, Iron Vent
adchimneys:iron_block:2, Iron Pump
adchimneys:lapis_block:0, Lapis Lazuli Chimney
adchimneys:lapis_block:1, Lapis Lazuli Vent
adchimneys:lapis_block:2, Lapis Lazuli Pump
adchimneys:magma:0, Magma Chimney
adchimneys:magma:1, Magma Vent
adchimneys:magma:2, Magma Pump
adchimneys:nether_brick:0, Nether Brick Chimney
adchimneys:nether_brick:1, Nether Brick Vent
adchimneys:nether_brick:2, Nether Brick Pump
adchimneys:nether_wart_block:0, Nether Wart Chimney
adchimneys:nether_wart_block:1, Nether Wart Vent
adchimneys:nether_wart_block:2, Nether Wart Pump
adchimneys:netherrack:0, Netherrack Chimney
adchimneys:netherrack:1, Netherrack Vent
adchimneys:netherrack:2, Netherrack Pump
adchimneys:obsidian:0, Obsidian Chimney
adchimneys:obsidian:1, Obsidian Vent
adchimneys:obsidian:2, Obsidian Pump
adchimneys:prismarine_rough:0, Prismarine Chimney
adchimneys:prismarine_rough:1, Prismarine Vent
adchimneys:prismarine_rough:2, Prismarine Pump
adchimneys:prismarine_bricks:0, Prismarine Brick Chimney
adchimneys:prismarine_bricks:1, Prismarine Brick Vent
adchimneys:prismarine_bricks:2, Prismarine Brick Pump
adchimneys:prismarine_dark:0, Dark Prismarine Chimney
adchimneys:prismarine_dark:1, Dark Prismarine Vent
adchimneys:prismarine_dark:2, Dark Prismarine Pump
adchimneys:purpur_block:0, Purpur Chimney
adchimneys:purpur_block:1, Purpur Vent
adchimneys:purpur_block:2, Purpur Pump
adchimneys:quartz_block_chiseled:0, Chiseled Quartz Chimney
adchimneys:quartz_block_chiseled:1, Chiseled Quartz Vent
adchimneys:quartz_block_chiseled:2, Chiseled Quartz Pump
adchimneys:quartz_block_lines:0, Pillar Quartz Chimney
adchimneys:quartz_block_lines:1, Pillar Quartz Vent
adchimneys:quartz_block_lines:2, Pillar Quartz Pump
adchimneys:quartz_block_side:0, Quartz Chimney
adchimneys:quartz_block_side:1, Quartz Vent
adchimneys:quartz_block_side:2, Quartz Pump
adchimneys:red_nether_brick:0, Red Nether Brick Chimney
adchimneys:red_nether_brick:1, Red Nether Brick Vent
adchimneys:red_nether_brick:2, Red Nether Brick Pump
adchimneys:red_sandstone_carved:0, Chiseled Red Sandstone Chimney
adchimneys:red_sandstone_carved:1, Chiseled Red Sandstone Vent
adchimneys:red_sandstone_carved:2, Chiseled Red Sandstone Pump
adchimneys:red_sandstone_normal:0, Red Sandstone Chimney
adchimneys:red_sandstone_normal:1, Red Sandstone Vent
adchimneys:red_sandstone_normal:2, Red Sandstone Pump
adchimneys:red_sandstone_smooth:0, Smooth Red Sandstone Chimney
adchimneys:red_sandstone_smooth:1, Smooth Red Sandstone Vent
adchimneys:red_sandstone_smooth:2, Smooth Red Sandstone Pump
adchimneys:sandstone_carved:0, Chiseled Sandstone Chimney
adchimneys:sandstone_carved:1, Chiseled Sandstone Vent
adchimneys:sandstone_carved:2, Chiseled Sandstone Pump
adchimneys:sandstone_normal:0, Sandstone Chimney
adchimneys:sandstone_normal:1, Sandstone Vent
adchimneys:sandstone_normal:2, Sandstone Pump
adchimneys:sandstone_smooth:0, Smooth Sandstone Chimney
adchimneys:sandstone_smooth:1, Smooth Sandstone Vent
adchimneys:sandstone_smooth:2, Smooth Sandstone Pump
adchimneys:sea_lantern:0, Sea Lantern Chimney
adchimneys:soul_sand:0, Soul Sand Chimney
adchimneys:soul_sand:1, Soul Sand Vent
adchimneys:soul_sand:2, Soul Sand Pump
adchimneys:stone:0, Stone Chimney
adchimneys:stone:1, Stone Vent
adchimneys:stone:2, Stone Pump
adchimneys:stone_andesite:0, Andesite Chimney
adchimneys:stone_andesite:1, Andesite Vent
adchimneys:stone_andesite:2, Andesite Pump
adchimneys:stone_andesite_smooth:0, Polished Andesite Chimney
adchimneys:stone_andesite_smooth:1, Polished Andesite Vent
adchimneys:stone_andesite_smooth:2, Polished Andesite Pump
adchimneys:stone_diorite:0, Diorite Chimney
adchimneys:stone_diorite:1, Diorite Vent
adchimneys:stone_diorite:2, Diorite Pump
adchimneys:stone_diorite_smooth:0, Polished Diorite Chimney
adchimneys:stone_diorite_smooth:1, Polished Diorite Vent
adchimneys:stone_diorite_smooth:2, Polished Diorite Pump
adchimneys:stone_granite:0, Granite Chimney
adchimneys:stone_granite:1, Granite Vent
adchimneys:stone_granite:2, Granite Pump
adchimneys:stone_granite_smooth:0, Polished Granite Chimney
adchimneys:stone_granite_smooth:1, Polished Granite Vent
adchimneys:stone_granite_smooth:2, Polished Granite Pump
adchimneys:stonebrick:0, Stone Brick Chimney
adchimneys:stonebrick:1, Stone Brick Vent
adchimneys:stonebrick:2, Stone Brick Pump
adchimneys:stonebrick_mossy:0, Mossy Stone Brick Chimney
adchimneys:stonebrick_mossy:1, Mossy Stone Brick Vent
adchimneys:stonebrick_mossy:2, Mossy Stone Brick Pump
adchimneys:stonebrick_cracked:0, Cracked Stone Brick Chimney
adchimneys:stonebrick_cracked:1, Cracked Stone Brick Vent
adchimneys:stonebrick_cracked:2, Cracked Stone Brick Pump
adchimneys:cokebrick:0, Coke Brick Chimney
adchimneys:cokebrick:1, Coke Brick Vent
adchimneys:cokebrick:2, Coke Brick Pump
adchimneys:blastbrick:0, Blast Brick Chimney
adchimneys:blastbrick:1, Blast Brick Vent
adchimneys:blastbrick:2, Blast Brick Pump
adchimneys:smoker, Smoker
thaumcraft:ore_amber, Amber Bearing Stone
thaumcraft:ore_cinnabar, Cinnabar Ore
thaumcraft:ore_quartz, Quartz Ore
thaumcraft:crystal_aer, Air Crystal
thaumcraft:crystal_ignis, Fire Crystal
thaumcraft:crystal_aqua, Water Crystal
thaumcraft:crystal_terra, Earth Crystal
thaumcraft:crystal_ordo, Order Crystal
thaumcraft:crystal_perditio, Entropy Crystal
thaumcraft:crystal_vitium, Flux Crystal
thaumcraft:stone_arcane, Arcane Stone
thaumcraft:stone_arcane_brick, Arcane Stone Brick
thaumcraft:stone_ancient, Ancient Stone
thaumcraft:stone_ancient_tile, Ancient Stone Tile
thaumcraft:stone_ancient_rock, Ancient Rock
thaumcraft:stone_ancient_glyphed, Glyphed Stone
thaumcraft:stone_ancient_doorway, Ancient Barrier
thaumcraft:stone_eldritch_tile, Eldritch Stone
thaumcraft:stone_porous, Porous Stone
thaumcraft:stairs_arcane, Arcane Stone Stairs
thaumcraft:stairs_arcane_brick, Arcane Brick Stairs
thaumcraft:stairs_ancient, Ancient Stone Stairs
thaumcraft:slab_arcane_stone:0, Arcane Stone Slab
thaumcraft:slab_arcane_brick:0, Arcane Brick Slab
thaumcraft:slab_ancient:0, Ancient Stone Slab
thaumcraft:slab_eldritch:0, Eldritch Stone Slab
thaumcraft:sapling_greatwood, Greatwood Sapling
thaumcraft:sapling_silverwood, Silverwood Sapling
thaumcraft:log_greatwood, Greatwood Log
thaumcraft:log_silverwood, Silverwood Log
thaumcraft:leaves_greatwood, Greatwood Leaves
thaumcraft:leaves_silverwood, Silverwood Leaves
thaumcraft:shimmerleaf, Shimmerleaf
thaumcraft:cinderpearl, Cinderpearl
